title,add1,city,add2,email,pobox,phone1,contact,fax,description,isPaid,webpage,lat,lng,subCatId
"Global Media Network Pvt. Ltd.",Kupondole-10,Kathmandu,Nepal,globalmedianet@gmail.com,,5555509,9851045553,,,N,,27.6859936,85.3178138,103
"Halesi Media Service Pvt. Ltd.",Koteshwor,Kathmandu,Nepal,,,2051169,,,,N,,27.6755549,85.3459238,103
"Kasthamandap Advertising",Maitighar,Kathmandu,Nepal,,,4247348,,,,N,,27.6919767,85.3229913,103
"Kishor Ad",Kupondole,Kathmandu,Nepal,,,"5520156, 5529213",,,,N,,27.6862181,85.3149142,103
"Kuntidevi  Advertising",Dillibazar,Kathmandu,Nepal,,,"4420619, 9841532933",,,,N,,NULL,NULL,103
"M.K. Publicity (P) Ltd.",Gyaneshwor,Kathmandu,Nepal,mkpublicity@hotmail.com,,"4440748, 016910399",,4440748,,N,,27.7102351,85.3330053,103
"MAD Media Pvt. Ltd.",Putalisadak,Kathmandu,Nepal,madmedia2002@hotmail.com,"12712, Ktm",4231572,,4231572,,N,,27.7029275,85.3223452,103
"Madhyamanchal Ad.",Birgunj,Birgunj,Nepal,,,522657,,,,N,,27.0189615,84.8890801,103
"Media & Advertising Consultant Pvt. Ltd.",Tripureshwor,Kathmandu,Nepal,market@mac.net.np,"8975 EPC 5491",4258868,,,,N,,27.6949964,85.3149142,103
"Media Connection P. Ltd.","Bijuli Bazar",Kathmandu,Nepal,m@connection.wlink.com.np,,"4780684, 4780696",,4780696,,N,,27.6921993,85.3302326,103
"Media Development Center Nepal",Dillibazar,Kathmandu,Nepal,mdc@info.com.np,"8975 EPC 624","4418139, 9851056175",,4418139,,N,,NULL,NULL,103
"Media Movement Pvt. Ltd.","Kamal Pokhari",Kathmandu,Nepal,advertising@mail.com.np,,4442651,,4442651,,N,,27.7108941,85.3254142,103
"Media South Asia (P) Ltd.",Baluwatar,Kathmandu,Nepal,mediarep@mos.com.np,"8976, Ktm",4420848,,4421179,,N,,27.7254865,85.3297752,103
"Mediamax Pvt. Ltd.",Tripureshwor,Kathmandu,Nepal,mediamax@enet.com.np,,"4232924, 4232935",,4232935,,N,,27.6949964,85.3149142,103
"Mice Ad Nepal",Kupondole,Kathmandu,Nepal,sea@wlink.com.np,,"5522436, 5525368, 9851022891",,5522436,,N,,27.6862181,85.3149142,103
"Mirage Advertising & Graphics",Kalikasthan,Kathmandu,Nepal,miragead@wlink.com.np,"173, Ktm","4426647, 2004282",,4426964,,Y,www.miragead.com,27.7034129,85.3258988,103
"Modern Media Pvt. Ltd.",Shantinagar,Kathmandu,Nepal,modernmedia@mail.com.np,"12712, Ktm","2051720, 2011078",,,,N,,27.6915196,85.3420486,103
"MOST Time",Tripureshwor,Kathmandu,Nepal,market@most.com.np,,4258868,,,,N,www.mac.net.np,27.6949964,85.3149142,103
"Multi National Advertisers",Putalisadak,Kathmandu,Nepal,ma@enet.com.np,"8975 EPC 5143","4423455, 4430680",,4430680,,N,,27.7029275,85.3223452,103
"Myriad Pvt. Ltd.","New Baneshwor",Kathmandu,Nepal,marketing@vow.com.np,"2294, Ktm","4780450, 4782100",,4782100,,N,,27.6915196,85.3420486,103
"National Media Times",Putalisadak,Kathmandu,Nepal,,,4425251,,,,N,,27.7029275,85.3223452,103
"Nepal Media  Consult (P) Ltd.",Kalikasthan,Kathmandu,Nepal,nepalisharebazaar@gmail.com,"6708, ktm","4438170, 4425024",,,,N,,27.7034129,85.3258988,103
"Nepal Media Advertising Agency",Sinamangal,Kathmandu,Nepal,,,4474388,,,,N,,27.6991378,85.3510904,103
"Orchid Advertising","New Road",Kathmandu,Nepal,,"14204, Ktm",4253208,,4253208,,N,,27.7033426,85.3115765,103
"Promotion Advertising Agency","New Baneshwor",Kathmandu,Nepal,,"19948, Ktm","4493742, 2042611",,4489235,,N,,27.6915196,85.3420486,103
"Promotion Solution Advertising Agency",Chabahil,Kathmandu,Nepal,,,2104060,,,,N,,27.7166069,85.3485072,103
"Saru Adlink",Putalisadak,Kathmandu,Nepal,saruadlink@hotmail.com,"19948, Ktm",2084193,,4220161,,N,,27.7029275,85.3223452,103
"Shanti Advertising Service",Tripureshwor,Kathmandu,Nepal,clients_matter@yahoo.com,"4338, Ktm","4260472, 4256838",,4245713,,N,,27.6949964,85.3149142,103
"Shiva Media Service",Teku,Kathmandu,Nepal,,,4262022,,,,N,,27.6953569,85.3039274,103
"Siddhababa Media & General Services P. Ltd.","New Baneshwor",Kathmandu,Nepal,siddha_akk@yahoo.com,,4108585,"9841632369, 9803479145",,,N,,27.6915196,85.3420486,103
"Siddhartha Gautam Media (P) Ltd.",Sitapaila,Kathmandu,Nepal,,"10029, Ktm",4274667,,4274667,,N,,27.7170009,85.2735406,103
"Soft Image Pvt. Ltd.",Bijulibazar,Kathmandu,Nepal,,"21998, Ktm",2051040,,,,N,,27.6921993,85.3302326,103
"Star Advertising Agency Pvt. Ltd.","Babar Mahal",Kathmandu,Nepal,gbista@wlink.com.np,"20749, Ktm",4247480,,4247480,,N,,27.6934832,85.3242836,103
"Sunrise Media Pvt. Ltd.",Putalisadak,Kathmandu,Nepal,sunrisemedia@enet.com.np,,"4442065, 2311590",,4436476,,N,,27.7029275,85.3223452,103
"Swift Media Nepal",Dhobidhara,Kathmandu,Nepal,smnepal@swiftmedia.com.np,"10021, Ktm","4432640, 4434712",,4432640,,N,,27.7092566,85.3254071,103
"Synchro Media Pvt. Ltd.",Putalisadak,Kathmandu,Nepal,info@synchro.com.np,"12357, Ktm","4239565, 4239567, 2003237",,4239567,,N,,27.7029275,85.3223452,103
"Synergy Media Service",Putalisadak,Kathmandu,Nepal,,"8975 EPC 5631",4227764,,,,N,,27.7029275,85.3223452,103
"Time Media Service",Kamalpokhari,Kathmandu,Nepal,tms@hons.com.np,,"4434799, 4434828",,4434828,,N,,27.7110759,85.3243996,103
"Ultra Marekting & Advertising",Buddhanagar,Kathmandu,Nepal,ultraadvertising@gmail.com,,9851029772,,,,N,,27.6867401,85.3304212,103
"Variety Service Center",Dillibazar,Kathmandu,Nepal,daya_rs@hotmail.com,"7047, Ktm",4421385,,,,N,,NULL,NULL,103
"Woodmandu Advertising & Marketing (WAM) (P.) Ltd.","New Baneshwor",Kathmandu,Nepal,wam@hons.com.np,"8973 NPC 324","4476756, 4469791",,4476756,,N,,27.6915196,85.3420486,103
"Yes Pro... Ad & Media Pvt. Ltd.","New Baneshwor",Kathmandu,Nepal,kalpitbishnu@hotmail.com,,"016916421, 9741104410",,,,N,,27.6915196,85.3420486,103
"Zee Media (Pvt.) Ltd.","Bijuli Bazar",Kathmandu,Nepal,zeemedia@wlink.com.np,,"4783609, 4782404, 2040270",,,,N,,27.6921993,85.3302326,103
"Emmanuella Jaga Darta and Katritbikri",Lagankhel,Kathmandu,Nepal,gopal_david@hotmail.com,,9841542851,,,,N,,27.6659949,85.3226683,104
"Info Creations P. Ltd.",Putalisadak,Kathmandu,Nepal,,,9851057264,,,,N,,27.7029275,85.3223452,105
"Media Magnum Pvt. Ltd.",Kamaladi,Kathmandu,Nepal,,"13135, Ktm","4416565, 4429433",,4429433,,N,,27.709047,85.3194375,105
"A. K. International","Mahabir Road",Birgunj,Nepal,,,522242,,,,N,,NULL,NULL,106
"Adarsha Distributors",Birgunj,Birgunj,Nepal,,,522034,,,,N,,27.0189615,84.8890801,106
"Amir Amatya",Dhangadi,Kailali,Nepal,,,091-522077,,,,N,,28.685244,80.621591,106
"Batuk Lal Jawahal Lal Pradhan",Chitwan,Chitwan,Nepal,,,056-520228,,,,N,,27.5341022,84.4524666,106
"Bijaya Kumar Kalwar","Adarsha Nagar",Birgunj,Nepal,,,521044,,,,N,,27.0112009,84.86852,106
"Birendra B. Singh",Hetauda,Hetauda,Nepal,,,520560,,,,N,,27.4257188,85.0300759,106
"Chandar Shah","Mills Area",Janakpur,Nepal,,,520069,,,,N,,26.7355428,85.9320426,106
"Deepak Kumar Shrestha",Birgunj,Birgunj,Nepal,,,521909,,,,N,,27.0189615,84.8890801,106
"Dinesh & Kailash Enterprises",Thamel,Kathmandu,Nepal,,,"4411155, 4410131",,,,N,,27.7153902,85.3123293,106
"Gaurav Traders",Kalimati,Kathmandu,Nepal,,,"4272191, 4278317",,,,N,,27.6999738,85.2890594,106
"Kalpana Store",Bhairahawa,Bhairahawa,Nepal,,,520216,,,,N,,27.536327,83.4026266,106
"Kosi Agents",Teenpaini,Biratnagar,Nepal,,"105, Btr","527841, 522546",,524521,,N,,NULL,NULL,106
"Madhu Ram Wine Store",Biratnagar,Biratnagar,Nepal,,,524044,,,,N,,26.5031454,87.298817,106
"Mercantile Traders","Hanumandas Road",Biratnagar,Nepal,,,526326,,526325,,N,,26.4580552,87.2788527,106
"Mercantile Traders","Alakhiya Road",Birgunj,Nepal,,,522249,,,,N,,NULL,NULL,106
"Milansar Trade Concern",Biratnagar,Biratnagar,Nepal,,,521782,,,,N,,26.5031454,87.298817,106
"Mulchanda Tapariya & Sons",Biratnagar,Biratnagar,Nepal,,,521782,,,,N,,26.5031454,87.298817,106
"Navin Electronics",Biratnagar,Biratnagar,Nepal,navinele@gmail.com,,021-527856,9852021874,,,Y,,26.5031454,87.298817,106
"Need Store",Lazimpat,Kathmandu,Nepal,dineshnet@yahoo.com,,4415278,,,,N,,27.7215031,85.3200837,106
"S. P. Impex",Birgunj,Birgunj,Nepal,,,521313,,,,N,,27.0189615,84.8890801,106
"Sanjaya Man Amatya",Dharan,Dharan,Nepal,,,520087,,,,N,,26.7916703,87.2907533,106
"Sharma Overseas Traders",Birgunj,Birgunj,Nepal,,,522297,,,,N,,27.0189615,84.8890801,106
"Shree Himalayan Enterprises (Pvt.) Ltd.",Biratnagar,Biratnagar,Nepal,,,021-523852,,,,N,,26.5031454,87.298817,106
"Shree Himalayan Enterprises (Pvt.) Ltd.",Birgunj,Birgunj,Nepal,,,525376,,,,N,,27.0189615,84.8890801,106
"Shree Himalayan Enterprises (Pvt.) Ltd.",Pokhara,Pokhara,Nepal,,,530107,,,,N,,28.2,83.981667,106
"Shree Himalayan Enterprises (Pvt.) Ltd.",Butwal,Bhairahawa,Nepal,,,541676,,,,N,,27.639331,83.4289192,106
"Shyam Govinda Shrestha",Dharan,Dharan,Nepal,,,520004,,,,N,,26.7916703,87.2907533,106
"Singhbahini Agencies","Putali Bazar",Dharan,Nepal,,,520050,,,,N,,NULL,NULL,106
"Super Vision","Thana Road",Jhapa,Nepal,koirala@nepalmail.com,,023-580341,,,,N,,NULL,NULL,106
"Tele Time Pvt. Ltd.","New Road",Kathmandu,Nepal,,,"4232304, 4232327",,4232325,,N,,27.7033426,85.3115765,106
"Tirupati Impex (Pvt.) Ltd.",Maitighar,Kathmandu,Nepal,tirupati@col.com.np,,4262908,,,,N,,27.6919767,85.3229913,106
"Trans Nepal Traders (P) Ltd.",Anamnagar,Kathmandu,Nepal,,"8975 EPC 1233","4248784, 4248825",,,,N,,27.6976913,85.3297752,106
"United Distributors Nepal (Pvt.) Ltd.",Putalisadak,Kathmandu,Nepal,sk@udn.com.np,"10977, Ktm","2233661, 2233662, 9851024377",,4265761,,N,,27.7029275,85.3223452,106
"Vijayshree Enterprises",Reshamkothi,Birgunj,Nepal,,,"522275, 522164",,521575,,N,,NULL,NULL,106
"Yes Marketing & Sales","New Road",Kathmandu,Nepal,,,4243987,,,,N,,27.7033426,85.3115765,106
"ATC Scientific Business Conservation Centre",Kalimati,Kathmandu,Nepal,,,4275166,,4280132,,N,,27.6999738,85.2890594,107
"Agricultural Equipment Factory Ltd.",Birgunj,Birgunj,Nepal,,,051-522019,,,,N,,27.0189615,84.8890801,108
"Agri-Vet Product (P) Ltd.","Industrial Estate",Hetauda,Nepal,,,057-520629,,,,N,,NULL,NULL,108
"Agro Enterprises Centre",Dharan,Dharan,Nepal,race@ccsl.com.np,,025-524677,,025-524677,,N,,26.7916703,87.2907533,108
"Agro Input Trading Concern",Jhapa,Jhapa,Nepal,,,023-540144,,,,N,,26.6252766,87.8920251,108
"Agro Machinery Trading Concern","Station Road",Birgunj,Nepal,,,051-521046,,,,N,,26.9858013,84.8465662,108
"Agro Mills Machinery Traders",Sunsari,Dharan,Nepal,,,025-580373,,,,N,,26.7943861,87.2817272,108
"Bacchu Medico","Dharan Road",Biratnagar,Nepal,,,021-524329,,,,N,,26.4640953,87.2777171,108
"Bhadrakali Trade Concern",Bhadrakali,Kathmandu,Nepal,,"8749, Ktm",4246565,,,,N,,27.6986693,85.4669667,108
"Dahal Trading Concern","Bhanu Chowk",Janakpur,Nepal,,,041-520877,,,,N,,NULL,NULL,108
"GM Agro Services Pvt. Ltd.",Tripureshwar,Kathmandu,Nepal,rps@afroda.wlink.com.np,"1155, Ktm",4260660,,4373235,,N,,27.6949964,85.3149142,108
"Gobar Gas Tatha Krishi Yantra Bikash","Parikrama Road",Janakpur,Nepal,,,041-520542,,,,N,,26.7275941,85.9150745,108
"Gobar Gas Tatha Krishi Yantra Bikash",Butwal,Bhairahawa,Nepal,,,071-540137,,,,N,,27.639331,83.4289192,108
"Green Sector Support Seed & Consultancy (P) Ltd.",Kalimati,Kathmandu,Nepal,gressco@wlink.com.np,"15142 KPC 687",4277973,,,,N,,27.6999738,85.2890594,108
"Harabhara Krishi Samagri Kendra","Sabhagriha Chowk",Pokhara,Nepal,,,"061-527107, 522401",,,,N,,NULL,NULL,108
"Hulas Aujar Industries","Ward 4",Biratnagar,Nepal,,,021-523853,,,,N,,26.5064591,87.3057588,108
"Input Trading Concern",Biratnagar,Biratnagar,Nepal,,,524166,,,,N,,26.5031454,87.298817,108
"Janasewa Krishi Samagri Bhandar",Chipledhunga,Pokhara,Nepal,,,"061-523104, 528070",,,,N,,28.2245888,83.9889757,108
"Jay Kisan Seed Center","Tebahal, Nachhegali",Kathmandu,Nepal,jaykisan@wlink.com.np,,"4431829, 4445704",9851021042,,,Y,www.asiancrops.com.np,27.6953569,85.3039274,108
"Kanchanjunga Agri Tools Industries","Ward 5",Biratnagar,Nepal,,,521625,,,,N,,26.5064591,87.3057588,108
"Karma & Sons Traders",Swoyambhu,Kathmandu,Nepal,info@karmagroups.com,"15142 KPC 575","2020348, 9851042480",,4288409,,N,www.karmagroups.com,27.7192103,85.2955242,108
"Kshetriya Beu Bijan",Hetauda,Hetauda,Nepal,,,057-520651,,,,N,,27.4257188,85.0300759,108
"Khadya Tatha Krishi Bazar Sewa","Shiva Mandir",Biratnagar,Nepal,,,021-521362,,,,N,,26.4605688,87.2759969,108
"Kishan Krishi Samagri Sewa Bhandar","Banjha Patan",Pokhara,Nepal,,,523722,,,,N,,28.2151011,84.0155876,108
"Krishi Aujar Karkhana",Sandarimaisthan,Biratnagar,Nepal,,,523102,,,,N,,NULL,NULL,108
"Krishi Aujar Karkhana Ltd.",Pipara,Birgunj,Nepal,,,522166,,,,N,,27.0944187,84.9496225,108
"Krishi Supply Shansthan",Shreepur,Birgunj,Nepal,,,522030,,,,N,,27.0271987,84.8848032,108
"Machhapuchchhre Agrovet Center",Bagar,Pokhara,Nepal,,,523859,,,,N,,28.2405517,83.9876532,108
"Narayani Seed Industries",Parawanipur,Birgunj,Nepal,,,523102,,,,N,,27.0716799,84.9180065,108
"Nepal Agrivet & Chemical Distributors","Khopasi Bazar",Banepa,Nepal,,,011-663098,,,,N,,NULL,NULL,108
"Nepal Agro Store","Adarsha Nagar",Birgunj,Nepal,,,522633,,,,N,,27.0112009,84.86852,108
"S. B. Agro Center",Bhaktapur,Kathmandu,Nepal,,,"6613894, 6616331",,,,N,,27.6861986,85.3612147,108
"Seeds Prashodhan Factory","Industrial Estate",Hetauda,Nepal,,,520357,,,,N,,NULL,NULL,108
"Shrestha Industries",Siddharthanagar,Bhairahawa,Nepal,sthbikram@hotmail.com,,520248,,,,N,,27.536327,83.4026266,108
"Hitco Pvt. Ltd.","Maharajgunj, Kapan Marg-9",Kathmandu,Nepal,pradeep@hitco.com.np,,"4017706, 4017666",,4017707,"We deal in Air Compressor, Hi- Tech Garage Equipments, Fire-Fighting Equipments, Security Equipments, Pallets and many more.....",N,www.hitconepal.com.np,27.7191814,85.3096178,109
"Alpha Enterprises Pvt. Ltd.",Tebahal,Kathmandu,Nepal,arcenter@wlink.com.np,"7554, Ktm","4226036, 4244342",,4248057,,N,,27.7025571,85.3113599,110
"Atmos International Pvt. Ltd.",Tinkune,Kathmandu,Nepal,,,4461496,,,,N,,27.6911228,85.2956562,110
"Sun Light Solar Power Trading","Manikpath 12/54, Balbhadra",Dharan,Nepal,,,025-531001,,,,Y,,NULL,NULL,547
"Himal Refrigeration & Electrical Industries Pvt. Ltd.","Gusingal Chowk",Lalitpur,Nepal,,,"5520123, 5521123",,5012591,,N,,27.6910989,85.3078053,110
"Maengg Air Conditioning Repairs & Maintenance",Pulchowk,Kathmandu,Nepal,maengg_engg@hotmail.com,,"5549625, 5542054, 5560071",,,,N,,27.6782363,85.3168528,110
"P.K. Servicing Centre",Thamel,Kathmandu,Nepal,sbpokrel@hotmail.com,,9851093990,,,,N,,27.7153902,85.3123293,110
"R. K. Electronic",Birgunj,Birgunj,Nepal,,,521210,,,,N,,27.0189615,84.8890801,110
"Uniphone Telecom Industries Pvt. Ltd.",Damak,Jhapa,Nepal,,,"023-582084, 9804926541",,,,N,,26.6716598,87.6679765,110
"Uniphone Telecom Industries Pvt. Ltd.",Pokhara,Pokhara,Nepal,,,9804149035,,,,N,,28.2,83.981667,110
"Weather Market",Pulchowk,Kathmandu,Nepal,,,"5521247, 5520795",,,,N,,27.6782363,85.3168528,110
"Air China",Lazimpat,Kathmandu,Nepal,ktmddca@wlink.com.np,,"4440650, 4440651",,4416541,,N,,27.7215031,85.3200837,111
"Multitech Aluminium","New Baneshwor",Kathmandu,Nepal,,,9851042759,,,,N,,27.6915196,85.3420486,113
"Multitech Aluminium","New Baneshwor",Kathmandu,Nepal,,,9851042759,,,,N,,27.6915196,85.3420486,113
"Austrian Air",Kamaladi,Kathmandu,Nepal,austrian@mos.com.np,"536, Ktm","4241470, 4223331, 4223317",,4241506,,N,www.aua.com,27.709047,85.3194375,111
"Avia Club Nepal","Mustang Chowk, Pardi",Pokhara,Nepal,info@aviaclubnepal.com,,462192,,,,N,www.aviavlubnepal.com,NULL,NULL,111
"British Airways",Kamaladi,Kathmandu,Nepal,ba-ktm@info.com.np,,"4226611, 4222266",,4248815,,N,,27.709047,85.3194375,111
"Buddha Air",Bhadrapur,Jhapa,Nepal,,,"023-521218, 521219, 521180",,521218,,N,,26.5363305,88.0803051,111
"Buddha Air",Jawalakhel,Kathmandu,Nepal,buddhaair@buddhaair.com,"2167, Ktm","5542494, 5521015",,5537726,,N,www.buddhaair.com,27.6744259,85.3123293,111
"Buddha Air",Sinamangal,Kathmandu,Nepal,,,"4477321, 4477320, 4473141",,4477018,,N,,27.6991378,85.3510904,111
"Buddha Air",Biratnagar,Biratnagar,Nepal,,,"526901, 530866, 522478",,530866,,N,,26.5031454,87.298817,111
"Buddha Air",Janakpur,Janakpur,Nepal,,,"525022, 525021",,525894,,N,,26.7271466,85.9406745,111
"Buddha Air",Pokhara,Pokhara,Nepal,,,"534998, 534997",,528997,,N,,28.2,83.981667,111
"Buddha Air",Bhairahawa,Bhairahawa,Nepal,,,"526893, 523893, 522893",,526893,,N,,27.536327,83.4026266,111
"Buddha Air",Nepalgunj,Nepalgunj,Nepal,,,520745,,520745,,N,,28.102989,81.666943,111
"Druk Air (Royal Bhutan Airlines)","Durbar Marg",Kathmandu,Nepal,surendra@mallatreks.com,"5227, Ktm",4410089,,4423143,,N,www.drukair.com.bt,27.7064565,85.3164261,111
"Eurail (European Railways)","Durbar Marg",Kathmandu,Nepal,preintl@mos.com.np,"1307, Ktm","4220245, 4221774",,4221180,,N,,27.7064565,85.3164261,111
"Eva Air",Nagpokhari,Kathmandu,Nepal,mahakala@ntc.net.np,"2084, Ktm","4414318, 4424153",,4415381,,N,www.mahakalatravels.com,27.7156174,85.324376,111
"Flying-Dragon Airlines",Tinkune,Kathmandu,Nepal,,"684, Ktm","4488352, 4488358",,4112033,,N,,27.6911228,85.2956562,111
"Gorkha Airlines",Jomsom,Mustang,Nepal,,,069-429410,,,,N,,28.7746477,83.7730237,111
"Gorkha Airlines",Lukla,Solukhumbu,Nepal,,,"038-621146, 640141",,,,N,,27.6856603,86.7278059,111
"Gorkha Airlines",Ramechhap,Ramechhap,Nepal,,,048-529312,,,,N,,27.319307,86.1039189,111
"Gorkha Airlines",Tumlingtar,Bhojpur,Nepal,,,029-469120,,,,N,,27.3131591,87.1996084,111
"Gorkha Airlines","Airport (Sales Dept.)",Kathmandu,Nepal,,"9451, Ktm","4481871, 4472514",,4444525,,N,,NULL,NULL,111
"Gorkha Airlines",Simara,Birgunj,Nepal,,,"521216, 520521",,,,N,,NULL,NULL,111
"Gorkha Airlines",Pokhara,Pokhara,Nepal,,,525971,,,,N,,28.2,83.981667,111
"Gulf Air",Airport,Kathmandu,Nepal,gfktmapt@mail.com.np,"1307, Ktm","4113280, 4494180",,4493323,,N,,27.6980899,85.3592231,111
"Gulf Air",Durbarmarg,Kathmandu,Nepal,ptt@mos.com.np,"1307, Ktm","4220245, 4221774, 4228288",,4221180,,N,,27.7064565,85.3164261,111
"Indian Airlines",Hattisar,Kathmandu,Nepal,,"300, Ktm","4414596, 4429468, 4410906",,4419649,,N,www.indian-airlines.com,27.7121469,85.3246066,111
"Japan Airlines","Durbar Marg",Kathmandu,Nepal,tht@hev.mos.com.np,"283, Ktm","4222838, 4224854, 4223871",,4227289,,N,,27.7064565,85.3164261,111
"Lauda Air",Kamaladi,Kathmandu,Nepal,laudaair@mail.com.np,"536, Ktm","4223317, 4223331, 4241470",,4241506,,N,www.laudaair.com,27.709047,85.3194375,111
"Lufthansa German Airlines","Durbar Marg",Kathmandu,Nepal,ktmls@mail.com.np,"214, Ktm","4223052, 4221995",,4221900,,N,,27.7064565,85.3164261,111
"Nepal Air Charter Service","Surkhet Road",Nepalgunj,Nepal,,,521482,,,,N,,28.156803,81.6696819,111
"Nepal Airlines Corporation","Domestic Sales",Kathmandu,Nepal,,,"4223453, 4224497",,,,N,,NULL,NULL,111
"Nepal Airlines Corporation","General Service Dept.",Kathmandu,Nepal,,,4225311,,,,N,,NULL,NULL,111
"Nepal Airlines Corporation","Int'l Airport",Kathmandu,Nepal,,,"4473779, 4484410",,4485188,,N,,27.6980899,85.3592231,111
